Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.966342,0.924757,0.879908,0.901775,0.985562,0.137201,70.47132,10,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.965126,0.916067,0.882217,0.898824,0.982318,0.219332,52.794928,10,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.965126,0.922141,0.875289,0.898104,0.984292,0.146622,68.443833,10,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.96472,0.957672,0.836028,0.892725,0.979372,0.214892,53.750511,10,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.963909,0.932161,0.856813,0.8929,0.982996,0.150359,67.639455,10,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.963098,0.923267,0.861432,0.891278,0.980493,0.248589,46.498186,10,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.962287,0.922886,0.856813,0.888623,0.984693,0.171267,63.139683,10,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.962287,0.935897,0.842956,0.886999,0.978004,0.15655,66.307068,10,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.961476,0.954301,0.819861,0.881988,0.982538,0.136747,70.569036,10,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.961071,0.954178,0.817552,0.880597,0.981776,0.141115,69.629078,10,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.961071,0.924433,0.847575,0.884337,0.973945,0.213947,53.953881,10,0.03,0.1
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.96026,0.946667,0.819861,0.878713,0.984045,0.134063,71.146731,10,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.96026,0.903614,0.866051,0.884434,0.978154,0.189524,59.210366,10,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.959448,0.928021,0.833718,0.878345,0.975793,0.206418,55.574432,10,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.959043,0.94385,0.815242,0.874845,0.977808,0.158039,65.986524,10,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.959043,0.930052,0.829099,0.876679,0.978095,0.16233,65.062998,10,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.959043,0.941489,0.817552,0.875155,0.97942,0.15529,66.578263,10,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.958232,0.906404,0.849885,0.877235,0.971528,0.223598,51.876755,10,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.957421,0.945652,0.803695,0.868914,0.97532,0.164267,64.646271,10,0.03,0.1
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.95661,0.940541,0.803695,0.86675,0.978042,0.133018,71.371559,10,0.03,0.1
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.954988,0.914948,0.819861,0.864799,0.977637,0.154191,66.814651,10,0.03,0.1
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.954988,0.925926,0.808314,0.863132,0.979076,0.146527,68.464242,10,0.03,0.1
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.952555,0.907216,0.812933,0.857491,0.977089,0.157659,66.06839,10,0.03,0.1
Awake vs Sleep,100,5,0.1,SquaredError,233,0.952149,0.936288,0.7806,0.851385,0.973409,0.146175,68.540044,10,0.03,0.1
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.950527,0.901809,0.806005,0.85122,0.978721,0.143707,69.071049,10,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.950527,0.912467,0.794457,0.849383,0.965718,0.221866,52.249561,10,0.03,0.1
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.950122,0.905759,0.799076,0.84908,0.968257,0.21843,52.989004,10,0.03,0.1
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.946472,0.888889,0.794457,0.839024,0.970925,0.154554,66.736543,10,0.03,0.1
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.94485,0.909091,0.762125,0.829146,0.975382,0.155252,66.586319,10,0.03,0.1
Awake vs Sleep,100,5,0.05,SquaredError,233,0.940795,0.891008,0.755196,0.8175,0.966937,0.17194,62.994761,10,0.03,0.1
Awake vs Sleep,100,5,0.3,SquaredError,233,0.938362,0.866841,0.766744,0.813725,0.961491,0.190841,58.926763,10,0.03,0.1
